ling	⓪
yi	①
er	②
san	③
si	④
wu	⑤
liu	⑥
qi	⑦
ba	⑧
jiu	⑨
shi	⑩
shiyi	⑪
shier	⑫
shisan	⑬
shisi	⑭
shiwu	⑮
shiliu	⑯
shiqi	⑰
shiba	⑱
shijiu	⑲
ershi	⑳
ershiyi	㉑
ershier	㉒
ershisan	㉓
ershisi	㉔
ershiwu	㉕
ershiliu	㉖
ershiqi	㉗
ershiba	㉘
ershijiu	㉙
sanshi	㉚
sanshiyi	㉛
sanshier	㉜
sanshisan	㉝
sanshisi	㉞
sanshiwu	㉟
sanshiliu	㊱
sanshiqi	㊲
sanshiba	㊳
sanshijiu	㊴
sishi	㊵
sishiyi	㊶
sishier	㊷
sishisan	㊸
sishisi	㊹
sishiwu	㊺
sishiliu	㊻
sishiqi	㊼
sishiba	㊽
sishijiu	㊾
wushi	㊿
yiri	㏠
erri	㏡
sanri	㏢
siri	㏣
wuri	㏤
liuri	㏥
qiri	㏦
bari	㏧
jiuri	㏨
shiri	㏩
shiyiri	㏪
shierri	㏫
shisanri	㏬
shisiri	㏭
shiwuri	㏮
shiliuri	㏯
shiqiri	㏰
shibari	㏱
shijiuri	㏲
ershiri	㏳
ershiyiri	㏴
ershierri	㏵
ershisanri	㏶
ershisiri	㏷
ershiwuri	㏸
ershiliuri	㏹
ershiqiri	㏺
ershibari	㏻
ershijiuri	㏼
sanshiri	㏽
sanshiyiri	㏾
lingdian	㍘
yidian	㍙
erdian	㍚
sandian	㍛
sidian	㍜
wudian	㍝
liudian	㍞
qidian	㍟
badian	㍠
jiudian	㍡
shidian	㍢
shiyidian	㍣
shierdian	㍤
shisandian	㍥
shisidian	㍦
shiwudian	㍧
shiliudian	㍨
shiqidian	㍩
shibadian	㍪
shijiudian	㍫
ershidian	㍬
ershiyidian	㍭
ershierdian	㍮
ershisandian	㍯
ershisidian	㍰
yiyue	㋀
eryue	㋁
sanyue	㋂
siyue	㋃
wuyue	㋄
liuyue	㋅
qiyue	㋆
bayue	㋇
jiuyue	㋈
shiyue	㋉
shiyiyue	㋊
shieryue	㋋
pingcheng	㍻
zhaohe	㍼
dazheng	㍽
mingzhi	㍾
linghe	㋿
zuo	←
shang	↑
you	→
xia	↓
zuoyou	↔
shangxia	↕
zuoshang	↖
youshang	↗
youxia	↘
zuoxia	↙
quanyinfu	𝅝
erfenyinfu	𝅗𝅥
sifenyinfu	𝅘𝅥
bafenyinfu	𝅘𝅥𝅮
shiliufenyinfu	𝅘𝅥𝅯
sanshierfenyinfu	𝅘𝅥𝅰
liushisifenyinfu	𝅘𝅥𝅱
yibaiershibafenyinfu	𝅘𝅥𝅲
quanxiuzhifu	𝄻
erfenxiuzhifu	𝄼
sifenxiuzhifu	𝄽
bafenxiuzhifu	𝄾
shiliufenxiuzhifu	𝄿
sanshierfenxiuzhifu	𝅀
liushisifenxiuzhifu	𝅁
yibaiershibafenxiuzhifu	𝅂
shengjihao	♯
jiangjihao	♭
huanyuanjihao	♮
zhongshengjihao	𝄪
zhongjiangjihao	𝄫
gaoyinpuhao	𝄞
diyinpuhao	𝄢
genhao	√
sancigenhao	∛
sicigenhao	∜
zhengbiyu	∝
wuqiongda	∞
jiao	∠
pingxingyu	∥
jiaoji	∩
bingji	∪
jifen	∫
shuangchongjifen	∬
erchongjifen	∬
sanchongjifen	∭
suoyi	∴
yinwei	∵
xiangsiyu	∽
quandengyu	≌
chuizhiyu	⊥
yuedengyu	≈
budengyu	≠
baohanyu	⊂
xiaoyudengyu	≤
dayudengyu	≥
yihuo	⊕
lingcifang	⁰
yicifang	¹
ercifang	²
pingfang	²
sancifang	³
lifang	³
sicifang	⁴
wucifang	⁵
liucifang	⁶
qicifang	⁷
bacifang	⁸
jiucifang	⁹
sheshidu	℃
huashidu	℉
baifenhao	％
qianfenhao	‰
wanfenhao	‱
du	°
oumu	Ω
pian	㎀
naan	㎁
weian	㎂
haoan	㎃
qiananpei	㎄
qianzijie	㎅
zhaozijie	㎆
jizijie	㎇
kaluli	㎈
ka	㎈
qianka	㎉
pifa	㎊
nafa	㎋
weifa	㎌
weike	㎍
haoke	㎎
qianke	㎏
he	㎐
hezi	㎐
qianhe	㎑
qianhezi	㎑
zhaohe	㎒
zhaohezi	㎒
jihe	㎓
jihezi	㎓
taihe	㎔
taihezi	㎔
feimi	㎙
nami	㎚
weimi	㎛
haomi	㎜
limi	㎝
qianmi	㎞
pingfanghaomi	㎟
pingfanglimi	㎠
pingfangmi	㎡
pingfangqianmi	㎢
lifanghaomi	㎣
lifanglimi	㎤
lifangmi	㎥
lifangqianmi	㎦
mimeimiao	㎧
mimeipingfangmiao	㎨
pa	㎩
qianpa	㎪
zhaopa	㎫
jipa	㎬
hudu	㎭
hudumeimiao	㎮
meipingfangmiaohudu	㎯
pimiao	㎰
namiao	㎱
weimiao	㎲
haomiao	㎳
pifu	㎴
nafu	㎵
weifu	㎶
haofu	㎷
qianfu	㎸
zhaofu	㎹
piwa	㎺
nawa	㎻
weiwa	㎼
haowa	㎽
qianwa	㎾
zhaowa	㎿
weiou	㏀
zhaoou	㏁
shangwu	㏂
beike	㏃
lifanglimi	㏄
kan	㏅
kandela	㏅
kulunmeiqianke	㏆
fenbei	㏈
gerui	㏉
gongqing	㏊
mali	㏋
yingcun	㏌
jie	㏏
liuming	㏐
leikesi	㏓
